review,mark
"Ноутбук отличный но в некоторых свойствах: Хорошая ОЗУ Видеокарта но плохой процессор Windows 7 но загружается долго у меня на компе в 3 раза быстрей, всех больше мне нравиться матрица экрана и удобность кнопок при нажатии не стоит сильно нажимать как на некоторых ноутбуках.",0
Интернет магазин экочехол. ру и экочехол. рф мошейники!!! Отправляют некачественный товар а при возврате игнорируют вас!!!! И вот вы без денег и без чехлов!!! Осторожно!!!!,0
"Очень часто рекомендуют этот препарат, но моим детям  а у меня их трое не помог совсем, сколько бы раз мы его не пробовали. Я думаю для моих детей он больше бы дал пользу в качестве препарата для профилактики заболеваний орви. В целом это конечно очень субъективно, к примеру у наших соседей только он всегда палочка-выручалочка.",0
"Когда ребёнок начал заболевать, кашель был. Прописали цитовир-3 что укрепить иммунитет и не дать болезни распространится по организму дальше. Через два дня после приёма, стало только хуже. У каждого свой организм и каждый по разному реагирует на лекарства, но я бы не советовала этот препарат покупать. Как разводить написано не очень понятно.  На вкус ребёнку понравился, так сладенький.",0
"Заказали кровать и матрац от компании Anderssen (как мы поняли она же 8 Марта) Менеджер был грамотный, вежливый, общаться было приятно. Заказ привезли вовремя, через 10 дней, без просрочки. Собрали и поняли, что спать на ней не возможно - стойкий, просто ужасный запах формальдегида. Кровать стоит уже месяц, пахнет чуть меньше. Пришлось купить очиститель воздуха с каталитическим фильтром, чтобы хоть как-то нейтрализовать формальдегид. Если бы знали об этой проблеме, то точно бы эту кровать не куп",0
"Побывав в Бразилии второе место (первое это конечно де Игуасу), которое нужно посетить, чтобы посмотреть такое удивительное явление природы, как водопад, это конечно же национальный парк Шапада-дус-Веадейрус. Ближайшее место, где вы сможете остановиться, это город Алту-Параизу-ди-Гояс. И конечно же возникает вопрос, какой из представленных отелей выбрать. Я считаю, что отдых в таком месте должен граничить с единением с природой, на этом отдыхе вы должны получать удовольствие от девственной приро",0
"Вот спросите меня о чем книга и я в ступоре, хотя вот только ее закрыла. Сюжет никакущий ВО_ДА! сплошные диалоги девочек. Про шмотки, про кухню, про все и много. Собственно кроме этих разговоров я в книге не нашла ничего). О легкое чтиво скажете вы. Да как то никакое чтиво.


.",0
"У меня эта книга прочиталась очень медленно и уныло. Мне кажется скучновато и слишком много диалогов.  Обилие разговоров на общие девчачьи или женские темы. Одежда, мода, кулинария и прочие многим знакомые девушкам переживания...
Вот моей маме книга понравилось. Мама пенсионерка и содержание книги ей напомнило что-то из юности или молодости. Одна мамина знакомая тоже читала и ей частично понравилось. Видимо, книга на любителя. Точнее, любительницу. Женские темы, непростая женская доля, обиды на",0
"Напишу короткий отзыв о каппере ABM | Кристиан Шлоссер и работе по их платным прогнозам, много читал отзывов о каперах наткнулся на капера  ABM | Кристиан Шлоссер.  За неделю с ними проиграл порядка 80 тысяч или больше, вся статистика ставок у них левая и скрывают проигрыши, коэффиценты на прогнозы на спорт очень занижены, возврата денег у них нет, когда попросил возврат за плохие прогнозы у этого каппера они меня просто заблокировали! Не вздумайте связываться с этим каппером!",0
Не люблю я баскетбол! Хотя мне и футбол не нравится и волейбол. Но всё же это лучше чем сидеть и откладывать в себе жиры или пить и курить по подъездам. Сам предпочитаю ударными видами спорта и занимаюсь боксом! Но кому- то нравится этот вид спорта и я не буду говорить ничего плохого о нём.,0
"Не предсказуемая и очень не понятная игра, например мне не нравится, потому что будем смотреть что в футболе забивают можно сказать не больше 3ех голов в матче, но я образно, а тут накидывают за 200 смотря какие команды и какая лига, поэтому смотреть постоянные голы, интереса не вызывает.",0
"Всегда переключаю подобные передачи - слишком напряженные и склочные орущие люди вокруг - никак не способны скрасить чей-либо досуг. Поэтому это просто жалкая передача. Давно уже понятно, что все кто там якобы участвуют - это начинающие актеры или те кто очень хочет попасть на ТВ.",0
"Мне не нравится эта передача. В ней в основном один негатив. Мало полезной, нужной информации. Да её там вообще нет. В этой передаче почти не рассматриваются серьезные проблемы, о которых действительно нужно ГОВОРИТЬ! Вот смотришь эту передачу... и противно становится от людей, которых там показывают, просто полное непонимание, крики, споры и тд. Не о чем.",0
